line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
1109,"At
that moment Sir William Lucas appeared close to them, meaning to pass
through the set to the other side of the room; but, on perceiving Mr.
Darcy, he stopped, with a bow of superior courtesy, to compliment him on
his dancing and his partner.","at that moment sir william lucas appeared close to them, meaning to pass through the set to the other side of the room; but, on perceiving mr. darcy, he stopped, with a bow of superior courtesy, to compliment him on his dancing and his partner.",248,244,,
1110,"“I have been most highly gratified, indeed, my dear sir; such very
superior dancing is not often seen.","""i have been most highly gratified, indeed, my dear sir; such very superior dancing is not often seen.",103,102,,
1111,"It is evident that you belong to the
first circles.",it is evident that you belong to the first circles.,52,51,,
1112,"Allow me to say, however, that your fair partner does not
disgrace you: and that I must hope to have this pleasure often repeated,
especially when a certain desirable event, my dear Miss Eliza (glancing
at her sister and Bingley), shall take place.","allow me to say, however, that your fair partner does not disgrace you: and that i must hope to have this pleasure often repeated, especially when a certain desirable event, my dear miss eliza (glancing at her sister and bingley), shall take place.",251,248,,
1113,"What congratulations will
then flow in!",what congratulations will then flow in!,40,39,,
1114,"I appeal to Mr. Darcy;--but let me not interrupt you, sir.","i appeal to mr. darcy;--but let me not interrupt you, sir.",58,58,,
1115,"You will not thank me for detaining you from the bewitching converse of
that young lady, whose bright eyes are also upbraiding me.”

[Illustration:

“Such very superior dancing is not
often seen.”

[_Copyright 1894 by George Allen._]]

The latter part of this address was scarcely heard by Darcy; but Sir
William’s allusion to his friend seemed to strike him forcibly, and his
eyes were directed, with a very serious expression, towards Bingley and
Jane, who were dancing together.","you will not thank me for detaining you from the bewitching converse of that young lady, whose bright eyes are also upbraiding me."" [illustration: ""such very superior dancing is not often seen."" [_copyright 1894 by george allen._]] the latter part of this address was scarcely heard by darcy; but sir william's allusion to his friend seemed to strike him forcibly, and his eyes were directed, with a very serious expression, towards bingley and jane, who were dancing together.",494,477,,
1116,"Recovering himself, however, shortly,
he turned to his partner, and said,--

“Sir William’s interruption has made me forget what we were talking
of.”

“I do not think we were speaking at all.","recovering himself, however, shortly, he turned to his partner, and said,-- ""sir william's interruption has made me forget what we were talking of."" ""i do not think we were speaking at all.",197,189,,
1117,"Sir William could not have
interrupted any two people in the room who had less to say for
themselves.",sir william could not have interrupted any two people in the room who had less to say for themselves.,103,101,,
1118,"We have tried two or three subjects already without success,
and what we are to talk of next I cannot imagine.”

“What think you of books?” said he, smiling.","we have tried two or three subjects already without success, and what we are to talk of next i cannot imagine."" ""what think you of books?"" said he, smiling.",160,156,,
1119,"“Books--oh no!--I am sure we never read the same, or not with the same
feelings.”

“I am sorry you think so; but if that be the case, there can at least be
no want of subject.","""books--oh no!--i am sure we never read the same, or not with the same feelings."" ""i am sorry you think so; but if that be the case, there can at least be no want of subject.",179,174,,
1120,"We may compare our different opinions.”

“No--I cannot talk of books in a ball-room; my head is always full of
something else.”

“The present always occupies you in such scenes--does it?” said he,
with a look of doubt.","we may compare our different opinions."" ""no--i cannot talk of books in a ball-room; my head is always full of something else."" ""the present always occupies you in such scenes--does it?"" said he, with a look of doubt.",226,218,,
